[ T-Deposit ]
    title = Bragg peak in pouch
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =  0.5000000      # maximum value of r-mesh points
#    rdel =  0.5000000      # mesh width of r-mesh points
       nr =      1          # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  5.00000E-01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   98.10000      # minimum value of z-mesh points
     zmax =   99.10000      # maximum value of z-mesh points
#    zdel =  1.0000000E-02  # mesh width of z-mesh points
       nz =    100          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           9.81000E+01  9.81100E+01  9.81200E+01  9.81300E+01  9.81400E+01
#           9.81500E+01  9.81600E+01  9.81700E+01  9.81800E+01  9.81900E+01
#           9.82000E+01  9.82100E+01  9.82200E+01  9.82300E+01  9.82400E+01
#           9.82500E+01  9.82600E+01  9.82700E+01  9.82800E+01  9.82900E+01
#           9.83000E+01  9.83100E+01  9.83200E+01  9.83300E+01  9.83400E+01
#           9.83500E+01  9.83600E+01  9.83700E+01  9.83800E+01  9.83900E+01
#           9.84000E+01  9.84100E+01  9.84200E+01  9.84300E+01  9.84400E+01
#           9.84500E+01  9.84600E+01  9.84700E+01  9.84800E+01  9.84900E+01
#           9.85000E+01  9.85100E+01  9.85200E+01  9.85300E+01  9.85400E+01
#           9.85500E+01  9.85600E+01  9.85700E+01  9.85800E+01  9.85900E+01
#           9.86000E+01  9.86100E+01  9.86200E+01  9.86300E+01  9.86400E+01
#           9.86500E+01  9.86600E+01  9.86700E+01  9.86800E+01  9.86900E+01
#           9.87000E+01  9.87100E+01  9.87200E+01  9.87300E+01  9.87400E+01
#           9.87500E+01  9.87600E+01  9.87700E+01  9.87800E+01  9.87900E+01
#           9.88000E+01  9.88100E+01  9.88200E+01  9.88300E+01  9.88400E+01
#           9.88500E+01  9.88600E+01  9.88700E+01  9.88800E+01  9.88900E+01
#           9.89000E+01  9.89100E+01  9.89200E+01  9.89300E+01  9.89400E+01
#           9.89500E+01  9.89600E+01  9.89700E+01  9.89800E+01  9.89900E+01
#           9.90000E+01  9.90100E+01  9.90200E+01  9.90300E+01  9.90400E+01
#           9.90500E+01  9.90600E+01  9.90700E+01  9.90800E+01  9.90900E+01
#           9.91000E+01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = bragg_pouch_zcilindJesus.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         106 (  0)           0 (  0)         106 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1
#   r = (   0.0000E+00  -   5.0000E-01  )

x: z [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n 
#  z-lower      z-upper        proton    r.err 
   9.8100E+01   9.8110E+01   4.8677E-03  0.0218
   9.8110E+01   9.8120E+01   5.0311E-03  0.0250
   9.8120E+01   9.8130E+01   4.9092E-03  0.0219
   9.8130E+01   9.8140E+01   4.9559E-03  0.0237
   9.8140E+01   9.8150E+01   5.0533E-03  0.0222
   9.8150E+01   9.8160E+01   4.8973E-03  0.0234
   9.8160E+01   9.8170E+01   5.1817E-03  0.0241
   9.8170E+01   9.8180E+01   5.0557E-03  0.0242
   9.8180E+01   9.8190E+01   5.0279E-03  0.0247
   9.8190E+01   9.8200E+01   5.2162E-03  0.0244
   9.8200E+01   9.8210E+01   5.1571E-03  0.0234
   9.8210E+01   9.8220E+01   5.1203E-03  0.0257
   9.8220E+01   9.8230E+01   4.8515E-03  0.0212
   9.8230E+01   9.8240E+01   5.1955E-03  0.0266
   9.8240E+01   9.8250E+01   4.9158E-03  0.0236
   9.8250E+01   9.8260E+01   4.9992E-03  0.0224
   9.8260E+01   9.8270E+01   5.0768E-03  0.0237
   9.8270E+01   9.8280E+01   5.1709E-03  0.0264
   9.8280E+01   9.8290E+01   5.9085E-03  0.0091
   9.8290E+01   9.8300E+01   6.0057E-03  0.0090
   9.8300E+01   9.8310E+01   6.1318E-03  0.0093
   9.8310E+01   9.8320E+01   6.2714E-03  0.0092
   9.8320E+01   9.8330E+01   6.3971E-03  0.0091
   9.8330E+01   9.8340E+01   6.5499E-03  0.0091
   9.8340E+01   9.8350E+01   6.7261E-03  0.0091
   9.8350E+01   9.8360E+01   6.9235E-03  0.0092
   9.8360E+01   9.8370E+01   7.1387E-03  0.0092
   9.8370E+01   9.8380E+01   7.4489E-03  0.0093
   9.8380E+01   9.8390E+01   7.7563E-03  0.0094
   9.8390E+01   9.8400E+01   8.3747E-03  0.0099
   9.8400E+01   9.8410E+01   8.7661E-03  0.0102
   9.8410E+01   9.8420E+01   8.2835E-03  0.0100
   9.8420E+01   9.8430E+01   8.6742E-03  0.0104
   9.8430E+01   9.8440E+01   8.2829E-03  0.0102
   9.8440E+01   9.8450E+01   8.5499E-03  0.0107
   9.8450E+01   9.8460E+01   8.3755E-03  0.0106
   9.8460E+01   9.8470E+01   8.1839E-03  0.0108
   9.8470E+01   9.8480E+01   8.3610E-03  0.0110
   9.8480E+01   9.8490E+01   7.8826E-03  0.0110
   9.8490E+01   9.8500E+01   8.3271E-03  0.0114
   9.8500E+01   9.8510E+01   7.8729E-03  0.0114
   9.8510E+01   9.8520E+01   8.2061E-03  0.0119
   9.8520E+01   9.8530E+01   8.0139E-03  0.0119
   9.8530E+01   9.8540E+01   7.8404E-03  0.0125
   9.8540E+01   9.8550E+01   8.0421E-03  0.0128
   9.8550E+01   9.8560E+01   7.2763E-03  0.0134
   9.8560E+01   9.8570E+01   8.1585E-03  0.0141
   9.8570E+01   9.8580E+01   6.9629E-03  0.0149
   9.8580E+01   9.8590E+01   7.3214E-03  0.0165
   9.8590E+01   9.8600E+01   3.5103E-03  0.0223
   9.8600E+01   9.8610E+01   9.8366E-05  0.1035
   9.8610E+01   9.8620E+01   0.0000E+00  0.0000
   9.8620E+01   9.8630E+01   0.0000E+00  0.0000
   9.8630E+01   9.8640E+01   0.0000E+00  0.0000
   9.8640E+01   9.8650E+01   0.0000E+00  0.0000
   9.8650E+01   9.8660E+01   0.0000E+00  0.0000
